Designator,Footprint,Mid X (mil),Mid Y (mil),Rotation,GAL P/N,Layer
,,,,,,
R135,805,-1918,6901,180,RES-0272N,B
R134,805,-183,4136,180,RES-0272N,B
TVS2,SMB,-3550,6815,90,DIOD-0086N,B
R133,805,-3640,4995,270,RES-0291N,B
R132,805,-3540,4995,270,RES-0293N,B
R131,805,-3680,5565,270,RES-0291N,B
R130,805,-3570,5565,270,RES-0291N,B
R129,805,-1610,7415,180,RES-0291N,B
C27,1206POL,-150,5875,90,CAP-0102N,B
R74,603,-2979,7430,90,RES-0314N,B
U12,DPAK,-1825,3800,360,IC-0163N,B
C51,1206POL,-2950,6270,90,CAP-0102N,B
C49,D6.3,-2675,7050,360,CAP-0120N,B
C47,603,-1570,3770,90,CAP-0112N,B
C46,1206POL,-2190,3835,270,CAP-0102N,B
R103,1206,-2955.001,84.001,270,RES-0294N,B
R102,1206,-2755.001,84.001,270,RES-0294N,B
R101,1206,-2555.001,84.001,270,RES-0294N,B
R100,1206,-2355.001,84.001,270,RES-0294N,B
C30,603,-2080,7005,90,CAP-0112N,B
R76,603,-3179,7430,90,RES-0314N,B
R75,603,-3079,7430,90,RES-0314N,B
R73,603,-2879,7430,90,RES-0314N,B
R69,1206,-1555.001,84.001,270,RES-0294N,B
R70,1206,-1755.001,84.001,270,RES-0294N,B
R71,1206,-1955.001,84.001,270,RES-0294N,B
R72,1206,-2155.001,84.001,270,RES-0294N,B
R99,603,-2779,7430,90,RES-0314N,B
R98,603,-2679,7430,90,RES-0314N,B
R97,603,-2579,7430,90,RES-0314N,B
R96,603,-2479,7430,90,RES-0314N,B
R68,1206,-1355.001,84.001,270,RES-0294N,B
R67,1206,-1155.001,84.001,270,RES-0294N,B
R66,1206,-955.001,84.001,270,RES-0294N,B
R65,1206,-755.001,84.001,270,RES-0294N,B
R27,805,-3415,4515,270,RES-0280N,B
U4,SOIC8,-140,6900,180,IC-0112N,B
U5,SOIC8,-3580,4690,270,IC-0111N,B
C31,603,-1795,7240,360,CAP-0112N,B
TVS1,SMB,-3010,6815,90,DIOD-0086N,B
R95,1206,-320,6315,270,RES-0269N,B
C32,603,-1605,7005,360,CAP-0112N,B
C29,603,-340,6875,270,CAP-0112N,B
C28,603,-1760,6860,0,CAP-0112N,B
LC1,1206,-1950,4050,270,CAP-0110N,B
LC2,603,-1920,4390,180,CAP-0112N,B
LC3,603,-2035,4305,90,CAP-0112N,B
LC5,603,-2145,4050,270,CAP-0112N,B
LC8,1206,-1770,4055,270,CAP-0110N,B
LC9,1206,-1655,4280,180,CAP-0110N,B
LC11,1206,-1680,4055,270,CAP-0110N,B
LC13,805,-1595,4035,270,CAP-0124N,B
LR1,805,-1930,4270,360,RES-0332N,B
LR2,603,-1195,6685,270,RES-0314N,B
LR3,603,-925,7125,180,RES-0314N,B
LR4,603,-925,7200,180,RES-0314N,B
LR5,603,-925,7050,180,RES-0314N,B
LR6,603,-925,6975,180,RES-0314N,B
LC6,1206,-1510,4060,270,CAP-0110N,B
LC14,1206,-2055,4050,270,CAP-0110N,B
C48,603,-2040,3135,180,CAP-0112N,B
U13,SOT-23,-2050,2980,270,IC-0183N,B
BR1,SDIP4,400,2031,180,1000V 1.5A,T
J5,TSW-102-07-T-S,2183,6828,90,TSW-102-07-T-S,T
C25,D10.3,2670,2114,270,100uF 63V,T
IC3,PDM2-S5-S24-S,1930,2030,180,PDM2-S5-S24-S,T
D3,SMA,1155,2033,180,600V 1A,T
C53,1206_-_CAP,1398,2088,270,1uF 100V X7R,T
SW3,B19AP,722.454,968,90,ON-OFF-MON,T
SW22,PB_500X500-TH,153,4251,180,SW-0071N,T
J4,JUMPER-2POS-SMT,3527,3987,180,CONN-0295N,T
XU6A,SCKT-SMD8,650,5145,270,SCKT-0028N,T
XU7,SCKT-SMD8,1150,5145,270,SCKT-0028N,T
CN7,CN_150_10P_VERT,3540,3050,90,CONN-0193N,T
TX1,DC-DC-RECOM-0.5W-SMT,3525,6855,0,IC-0148N,T
J3,JUMPER-2POS-SMT,3714,4280,90,CONN-0295N,T
J2,JUMPER-2POS-SMT,3422,4280,270,CONN-0295N,T
IC2,SMD8,3590,5245,90,IC-0114N,T
IC1,SMD8,3590,4725,90,IC-0114N,T
CN10,SCKT-4POS8PINDUALROWSMT,187,6914,0,CONN-0220N,T
C52,D6.3,3605,6370,270,CAP-0097N,T
R119,2010,2550,4250,90,RES-0348N,T
R118,2010,2400,4250,90,RES-0348N,T
R8,2010,3150,4250,90,RES-0348N,T
R7,2010,3000,4250,90,RES-0348N,T
R6,2010,2850,4250,90,RES-0348N,T
R5,2010,2700,4250,90,RES-0348N,T
LC4,603,2135,4420,180,CAP-0112N,T
LC7,805,1785,4410,180,CAP-0123N,T
LC10,805,1613,4403,180,CAP-0124N,T
LC12,805,1475,4373,270,CAP-0098N,T
R128,603,1275,7127,180,RES-0360N,T
R127,603,1275,7202,180,RES-0360N,T
R126,603,1230,6825,360,RES-0360N,T
R125,603,1275,6977,360,RES-0360N,T
R124,603,1275,7052,360,RES-0360N,T
R48,603,3040,6335,90,RES-0314N,T
R111,603,2100,6225,360,RES-0315N,T
R110,603,1900,6225,360,RES-0315N,T
